TARGET,F1,F2,CAT1
0,-0.877982586756561,11.7335498880246,B
1,-0.82688035403986,22.55778275792212,C
0,-0.22647889190152676,0.7996112774712358,A
0,0.3673655068161781,9.838596944752648,C
0,0.9135846262332494,13.202714675373867,A
0,-0.8031789506803448,10.615391008280906,B
0,1.4926885689595217,9.434359737421298,A
0,-0.2711236010425688,3.503918182770879,A
0,-0.021367294348436157,11.163933714700818,A
0,-0.7472116791478234,6.216180114920368,C
0,-2.4242402602729416,-0.949608524892767,A
1,0.8840453963610497,15.972961102568654,A
0,0.7368438970924334,14.791929099210211,A
0,-0.2813275571182134,10.258304884255399,C
0,0.06699071722487192,11.145373441028513,C
0,0.5159392177040995,15.371590063577807,C
0,-1.5625458568865427,11.121698283890414,A
0,-0.5290526773462948,14.520087773806573,B
0,0.7942646796218271,8.51258899563075,B
0,-1.2542894231692494,16.559918692869733,B
0,0.2935579321666293,11.60392862966342,A
0,-1.356581804623405,10.97025971802937,B
0,0.46642998243352635,3.64969455643984,B
0,-0.03564148229748357,11.434779271508544,B
0,-1.6151318159055095,5.840225412527744,A
0,1.1647393544571714,6.808586367357529,B
0,-0.7345915767980492,5.923121858419394,B
0,-0.810252437014381,4.668825340503875,A
0,0.20056919723094285,20.62385701508481,C
0,1.1486373494287152,16.656695309942016,B
0,-1.015821818978397,19.601837510721307,C
0,0.06167984984797165,3.8855249022221807,B
0,0.42881650033057295,10.356268749554463,A
1,0.6931056072631441,3.5324618739795213,C
1,0.1764415552772252,6.52152561401468,C
0,-0.3670278390833223,5.409365082917126,C
0,-0.8275902206487197,16.197920032207808,C
0,0.08614388304637476,8.0188516094912,B
0,-1.072139011985607,15.341896668470081,B
0,-2.9213504834946074,13.02060444794259,C
0,0.4365598041576678,21.518193760523943,B
0,0.9039348410861953,2.6027788843013795,C
0,-2.3629324355418384,16.296166198933996,C
1,-1.0097307047099375,15.732204352003638,A
0,0.6191542610051978,5.133105809864827,C
0,2.0574954697116987,15.035666682365799,B
0,0.020793707675407894,11.680724815131144,C
0,-0.7280029412291344,8.86261870023296,A
0,-0.18289644110484016,5.880322565140002,B
0,1.3748764191481848,6.404452742754071,A
1,-0.6459641791245353,20.24906047892963,A
0,-0.7991920066502536,10.003414094787413,C
1,-0.4827435221820324,13.910650007657296,A
0,-0.9533286082587124,6.045503091662234,A
0,0.12267031599479553,6.100735268891806,B
1,1.6246784584695606,15.40992404624971,A
0,0.3230792731160291,3.2521189422423387,C
0,-0.2523535021262876,7.923931160473643,C
0,-0.2918112689155441,10.17013705536116,C
0,-1.563190808696657,10.556863009200262,A
0,0.883109777147159,9.104533574919218,B
0,-0.07783719701280203,11.979098905479615,C
0,-0.18047991359062565,13.464278779089058,A
0,3.193107567844861,13.67318772729665,C
0,0.29875290836568624,5.070980956660867,C
0,-0.7517910500951843,8.579224510356013,B
0,-0.4263575962055433,15.97381430938469,C
0,1.1484457091967548,14.473235937869362,B
0,0.11327041053776446,3.13570274259468,A
1,-1.4382779783173667,11.757399501761007,C
0,0.9192289345752035,0.10887375312594827,A
0,-0.668144085538994,10.234674510301849,A
0,1.8732977762175456,19.488835083729885,A
0,1.0800480657146485,5.2605364136550685,C
0,-0.4473218956587512,5.82838477254209,B
0,1.281016361735113,13.820148907864297,C
0,0.0678555105274033,2.28599242395177,A
0,0.8527736751222195,6.836224850574805,B
0,0.48473281729447476,12.982205687908763,A
0,-0.8463566549908735,6.828570761552984,B
0,-0.643549832317462,8.820150063945142,C
0,1.0299608175811612,13.720928551575174,B
0,-0.33477533210654087,12.107730417682806,C
0,-0.4036484632419967,11.334091981477009,A
0,-0.955122579349353,8.304388603649807,B
0,0.42359906559346105,11.850305576344777,A
0,2.062524919243145,9.381336599501218,B
0,-1.0675329142542729,12.289028049628923,C
0,0.02421945667275807,7.515339874410109,B
0,1.4122205554154292,9.087155128102294,B
0,-0.07964139124571515,5.05021103723993,C
0,0.4523717962497339,9.82496194996882,C
0,-1.0623935281468797,5.944995681855776,C
0,0.4283070972076486,4.429767749190034,B
0,-0.18714426500454878,11.29330573927694,A
0,0.985729995679863,11.063698879288301,B
0,1.1873860515647512,13.914368674742862,B
0,2.589563642018614,7.844372152124505,A
0,0.5796331732135757,12.040264234183779,C
0,0.32579631658216646,12.753987861368316,B
